artist,term_str,n,tf,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
ADELE,fall,37,0.0022371364653243,0.0025447506124159,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,falling,2,0.0001209262954229,0.0001057463108913,VBG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,fault,2,0.0001209262954229,0.0002266726063143,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,feeling,8,0.0004837051816917,0.0004229852435654,VBG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ADELE,fell,5,0.0003023157385573,0.000343885217894,VBD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,fight,9,0.0005441683294032,0.0006189933922092,VB,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,fighting,2,0.0001209262954229,0.0002266726063143,VBG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,finally,4,0.0002418525908458,0.0004533452126286,RB,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
ADELE,fool,15,0.000906947215672,0.0013236274429868,NN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,forgotten,2,0.0001209262954229,0.0002974099544878,VBN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,found,5,0.0003023157385573,0.000343885217894,VBD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,friend,5,0.0003023157385573,0.000343885217894,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,fun,10,0.0006046314771146,0.0005287315544568,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ADELE,gift,2,0.0001209262954229,0.0002266726063143,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ADELE,glory,2,0.0001209262954229,0.0004183362499107,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,god,12,0.0007255577725376,0.0010589019543894,NNP,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ADELE,good,11,0.0006650946248261,0.0001925492949479,JJ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
ADELE,government,1,6.046314771146986e-05,0.0002091681249553,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,greed,1,6.046314771146986e-05,0.0002091681249553,NN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,grow,2,0.0001209262954229,0.0001764836590649,VB,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,guarantee,1,6.046314771146986e-05,0.0002091681249553,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,guilty,1,6.046314771146986e-05,0.0001487049772439,JJ,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,hanging,2,0.0001209262954229,0.0001764836590649,VBG,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,happy,1,6.046314771146986e-05,6.877704357880979e-05,JJ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,harm,1,6.046314771146986e-05,0.0001487049772439,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,hate,6,0.0003627788862688,0.0006800178189429,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,haunted,1,6.046314771146986e-05,0.0001133363031571,VBN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,haze,2,0.0001209262954229,0.0002974099544878,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,heal,6,0.0003627788862688,0.0012550087497323,VB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,heartache,1,6.046314771146986e-05,0.0002091681249553,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,heavens,4,0.0002418525908458,0.0008366724998215,NNS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,hell,3,0.0001813894431344,0.0002063311307364,NNP,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,highest,5,0.0003023157385573,0.0007435248862196,JJS,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ADELE,hit,3,0.0001813894431344,0.0002063311307364,VB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,hollow,1,6.046314771146986e-05,0.0001487049772439,JJ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,honesty,1,6.046314771146986e-05,0.0002091681249553,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,hope,13,0.0007860209202491,0.0008941015665245,VBP,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
ADELE,hungry,1,6.046314771146986e-05,0.0002091681249553,JJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,hurt,6,0.0003627788862688,0.0004126622614728,VB,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,insecure,1,6.046314771146986e-05,0.0002091681249553,JJ,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,jealous,1,6.046314771146986e-05,0.0001133363031571,JJ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,jump,1,6.046314771146986e-05,0.0001133363031571,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ADELE,kill,5,0.0003023157385573,0.0005666815157857,VB,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,kind,3,0.0001813894431344,0.000158619466337,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,kiss,3,0.0001813894431344,0.000158619466337,VB,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ADELE,late,3,0.0001813894431344,0.0002647254885973,JJ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,leave,14,0.0008464840679605,0.0007402241762395,VB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
ADELE,lesson,1,6.046314771146986e-05,0.0001487049772439,NN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,lie,7,0.0004232420339802,0.0006176928067271,NN,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,loneliness,1,6.046314771146986e-05,0.0001487049772439,NN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,lonely,3,0.0001813894431344,0.0003400089094714,RB,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,lord,22,0.0013301892496523,0.0024933986694573,NNP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ADELE,lose,12,0.0007255577725376,0.0008253245229457,VB,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0
ADELE,losing,3,0.0001813894431344,0.0002647254885973,VBG,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,lost,9,0.0005441683294032,0.0003548394866205,VBN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,love,175,0.0105810508495072,0.0,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ADELE,lover,9,0.0005441683294032,0.0007941764657921,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,loving,7,0.0004232420339802,0.0007933541221,VBG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,lust,1,6.046314771146986e-05,0.0002091681249553,JJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,lying,1,6.046314771146986e-05,8.824182953245646e-05,VBG,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,mad,1,6.046314771146986e-05,8.824182953245646e-05,JJ,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,madness,1,6.046314771146986e-05,0.0001487049772439,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,mess,2,0.0001209262954229,0.0001764836590649,NN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,mighty,2,0.0001209262954229,0.0002974099544878,NN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ADELE,missing,3,0.0001813894431344,0.0004461149317317,VBG,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,mistaken,1,6.046314771146986e-05,0.0001487049772439,VBN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,mother,2,0.0001209262954229,0.0001375540871576,NN,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
ADELE,nurture,1,6.046314771146986e-05,0.0002091681249553,VB,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
ADELE,overdue,1,6.046314771146986e-05,0.0001487049772439,JJ,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
ADELE,pain,16,0.0009674103633835,0.0014118692725193,NN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,patient,6,0.0003627788862688,0.0008922298634635,JJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ADELE,pay,6,0.0003627788862688,0.0004126622614728,VB,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,peace,1,6.046314771146986e-05,8.824182953245646e-05,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,perfect,4,0.0002418525908458,0.0003529673181298,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,poison,1,6.046314771146986e-05,0.0001487049772439,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,pound,1,6.046314771146986e-05,0.0002091681249553,NN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,powerful,1,6.046314771146986e-05,0.0002091681249553,JJ,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
ADELE,pride,1,6.046314771146986e-05,6.877704357880979e-05,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ADELE,promise,6,0.0003627788862688,0.0004126622614728,VBP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,proud,1,6.046314771146986e-05,0.0002091681249553,JJ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,raging,1,6.046314771146986e-05,0.0002091681249553,VBG,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,real,3,0.0001813894431344,0.0002063311307364,JJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,reckless,4,0.0002418525908458,0.0005948199089757,JJ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,regret,4,0.0002418525908458,0.0003529673181298,VBP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
ADELE,rejection,1,6.046314771146986e-05,0.0001487049772439,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,remedy,4,0.0002418525908458,0.0008366724998215,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,rescue,3,0.0001813894431344,0.0006275043748661,VB,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
ADELE,respects,1,6.046314771146986e-05,0.0002091681249553,NNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,rising,3,0.0001813894431344,0.0003400089094714,VBG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ADELE,risk,9,0.0005441683294032,0.0013383447951953,NN,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,rooted,2,0.0001209262954229,0.0004183362499107,VBN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,safe,1,6.046314771146986e-05,6.877704357880979e-05,JJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,satisfied,5,0.0003023157385573,0.0010458406247769,JJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ADELE,save,7,0.0004232420339802,0.0004814393050516,VB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ADELE,seal,1,6.046314771146986e-05,8.824182953245646e-05,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,shelter,2,0.0001209262954229,0.0002974099544878,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,shit,3,0.0001813894431344,0.0002647254885973,NN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,shoot,5,0.0003023157385573,0.0005666815157857,VB,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
ADELE,shot,1,6.046314771146986e-05,0.0001133363031571,NN,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0
ADELE,shoulder,4,0.0002418525908458,0.0008366724998215,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ADELE,smile,5,0.0003023157385573,0.000343885217894,NN,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
ADELE,sorrow,1,6.046314771146986e-05,0.0001487049772439,NN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,stain,4,0.0002418525908458,0.0008366724998215,VBP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
ADELE,steal,3,0.0001813894431344,0.0004461149317317,VB,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
ADELE,stolen,1,6.046314771146986e-05,0.0001487049772439,JJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
