artist,song,doc_str,term_count
ADELE,Million Years Ago,wanted have fun learning fly learning run let heart decide way was deep have known be earn stripes have pay bare soul know m one regrets things ve done feel s stand reflection see wish live look sky floor feel life is flashing do is watch cry miss air miss friends miss mother miss life was party be thrown was years walk streets grew found feet look eye s re scared try think things say joke memory do recognize light day know m one regrets things ve done feel s became thought be wish live look sky floor feel life is flashing do is watch cry miss air miss friends miss mother miss life was party be thrown was years,90
ADELE,My Little Love,look emotions m be know feel lost s fault tell love love percent do recognise coldness daylight ai surprised read lies feel be m m gone re one save muc0u1077 oi feel do love do feel do know does like anyone like m barely mama got lot learn s m catch mama got lot learn teach mummy been having lot feelings hang fingers are trapped feel bit do know feel do know m doing make go love tell do feel way aches lay hear way heart breaks wanted have everything had m ve done makes feel love dad gave re re daddy m barely mama got lot learn s m catch mama got lot learn teach outro nan m having day m having day feel feel um have hangover helps feel today is day left feel feel love being preferred being being people feel ve been overcompensating being stuff keep mind feel today m home wan be home wan watch tv curl ball,133
ADELE,Oh My God,let break walls m spinning control fall boy give love lie s keeps comin m know s want have fun mmm yeah mmm yeah know s want have fun mmm yeah mmm yeah god believe people world is likelihood jumping life arms baby m losing mind is trouble feels teetering edge heaven hell is battle fight m fool think m be fool leave do have explain am woman do want do know s want have fun mmm yeah mmm yeah know s want have fun mmm yeah mmm yeah god believe people world is likelihood jumping life arms baby m losing mind is trouble feels teetering edge heaven hell is battle fight lord do let said lord do let said lord do let let lord lord do let said lord do let said lord do let let do let let lord do let said lord do let said lord do let let god lord do let said lord do let said lord do let let god believe people world is likelihood jumping life arms baby m losing mind is trouble feels teetering edge heaven hell s battle fight outro nan lord do let said lord do let said lord do let let know s want have fun lord do let said lord do let said lord do let let mmm yeah mmm yeah lord do let said lord do let said lord do let let know s want have fun,335
ADELE,One and Only,lose time thinking face god knows s taken let doubts go re one want do know m ve been feeling word ve imagined know try forgive past be mine dare let be promise m hold arms come give chance prove am one walk mile end starts have been mind hang word say lose time mention name know feels hold have tell road choose go do know m ve been feeling word ve imagined know try forgive past be mine dare let be promise m mmm hold arms come give chance prove am one walk mile end starts know ai giving heart know ai giving heart nobody perfect ve learned know ai giving heart nobody perfect ve learned know ai giving heart nobody perfect ve learned know ai giving heart nobody perfect ve learned know ai giving heart dare let be promise m hold arms come give chance prove am one walk mile end starts outro nan come give chance prove am one,200
ADELE,Remedy,eyes saw heart came life ai s meant be story has scars pain cuts deep night keeps sleeping look see be remedy world seems heart makes feel fool promise see be be remedy river is swim come whatever be shelter let rain come love is truth love love oh pain cuts deep night keeps sleeping look see be remedy world seems heart makes feel fool promise see be be remedy pain cuts deep night keeps sleeping look see be be world seems heart makes feel fool promise see be be,102
ADELE,Right as Rain,wants be rain s something is get bones everything do game night comes re say chose be wants be rain s re work do pay m ai room bed m dirty smile be making ve cried heart ve had enough love wants be riding crumble give everything are do get make believe everything is seems re know feel things see work do pay m ai room bed m dirty smile be making ve cried heart ve had enough love go steal heart make cry hurt did were one had blame give game cause wants be rain s something is get bones everything strain night comes m know chose be wants be rain s re work do pay m ai room bed m dirty smile be making ve cried heart ve had of97 outro nan room bed m dirty smile,126
ADELE,River Lea,heart is valley s manmade m death let see m fake feel arms touch know s nothing is was child grew river lea was something water something s go reeds are growing fingertips go river s roots veins blood stain heart use heal pain s roots veins blood stain heart use heal pain blame river lea river lea river lea blame river lea river lea river lea tell s way meant hurt lie face consider apology know s years advance say case get chance go reeds are growing fingertips go river s roots veins blood stain heart use heal pain s roots veins blood stain heart use heal pain blame river lea river lea river lea blame river lea river lea river lea blame river lea river lea river lea blame river lea river lea river lea outro nan river lea river lea river lea river leaeaea,200
ADELE,Rolling in the Deep,see go sell lay shit bare see leave piece do underestimate things do s fire starting heart reaching fever pitch s bringing dark scars love keep had scars love leave breathless help feeling ve had re gon wish had met rolling tears are gon fall rolling deep had heart hand re gon wish had met played beat tears are gon fall rolling deep baby have story be told ve heard m gon make head burn think depths despair make home sure be shared re gon wish had met scars love tears are gon fall rolling deep keep had re gon wish had met scars love leave breathless tears are gon fall rolling help feeling ve had re gon wish had met rolling tears are gon fall rolling deep had heart hand re gon wish had met played beat tears are gon fall rolling deep could ve had rolling had heart hand played beating throw soul door ooh woah count blessings find look woah turn sorrow treasured gold ooh woah pay kind reap sow breakdown nan re gon wish had met ve had tears are gon fall rolling deep ve had re gon wish had met tears are gon fall rolling deep ve had re gon wish had met rolling tears are gon fall rolling deep had heart hand re gon wish had met played beat tears are gon fall rolling deep could ve had re gon wish had met rolling tears are gon fall rolling deep had heart hand re gon wish had met,293
ADELE,Rumour Has It,ai ai gon be love is stranger have history do remember s got baby is want soul ve got head clouds made fool s bringin made heart melt re core rumour has ai got love rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour is age m s reason strayed heard ve been missin ve been people things be creep ai have heard rumours soul soul ve got head clouds made fool re bringin made heart melt m core rumour has m one re leaving rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour words whispered ear tell story bear hear said do mean meant people say things said do mean meant heard rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has rumour rumour has remember kiss seal sins had idea state were know have heart bitterness wandering eye heaviness head do remember do remember reason loved baby please remember was time thought have erased memory think went do know know have heart bitterness wandering eye heaviness head do remember do remember reason loved baby please remember gave space breathe kept distance be hope find missing piece bring do remember do remember reason loved baby please remember,258
ADELE,Send My Love (To Your New Lover),was none put hands body told mmm told were jump be love everlasting mmm was told m giving ve forgiven set send love lover treat ve got let go ghosts know ai kids send love lover treat ve got let go ghosts know ai kids was were trembling handle heat rising rising mmm baby m rising was running were walking keep were falling down mmm s way m giving ve forgiven set send love lover treat ve got let go ghosts know ai kids send love lover treat ve got let go ghosts know ai kids re re re am re re know ai kids ai kids m giving ve forgiven set send love lover treat ve got let go ghosts know ai kids send love lover treat ve got let go ghosts know ai kids outro nan re re send love lover re are treat better ve got let go ghosts know ai kids re re send love lover re are treat better,216
